16	88779247	88785888	TE_01_003900386
3	15040492	15065901	TE_01_003900387
8	73292520	73296447	TE_01_003900388
15	42490163	42501601	TE_01_003900389
6	13665289	13679599	TE_01_003900390
1	223707099	223728126	TE_01_003900391
1	156490506	156506010	TE_01_003900392
16	57799211	57811575	TE_01_003900393
16	8108668	8113544	TE_01_003900394
10	11602439	11615391	TE_01_003900395
10	21522101	21529479	TE_01_003900396
1	47331781	47336889	TE_01_003900397
1	147925735	147929969	TE_01_003900398
6	36116465	36128590	TE_01_003900399
1	207727155	207730239	TE_01_003900400
22	36328300	36335890	TE_01_003900401
3	139287987	139314124	TE_01_003900402
1	155306282	155311110	TE_01_003900403
17	4944027	4951648	TE_01_003900404
22	39452189	39474438	TE_01_003900405
17	36529276	36536566	TE_01_003900406
8	124629424	124661163	TE_01_003900407
6	132812308	132816871	TE_01_003900408
15	82749053	82751952	TE_01_003900409
18	57580955	57590614	TE_01_003900410
11	19974695	19982033	TE_01_003900411
6	145812759	145816384	TE_01_003900412
15	63502587	63506316	TE_01_003900413
22	40175490	40203191	TE_01_003900414
7	123746968	123750116	TE_01_003900415
2	197926526	197935327	TE_01_003900416
11	69398247	69421340	TE_01_003900417
21	37562076	37566506	TE_01_003900418
5	159206686	159212482	TE_01_003900419
19	55381462	55388333	TE_01_003900420
17	34978992	34987879	TE_01_003900421
16	9596146	9600541	TE_01_003900422
10	32345157	32349291	TE_01_003900423
6	3159306	3172247	TE_01_003900424
8	104663945	104667764	TE_01_003900425
16	30760094	30779264	TE_01_003900426
20	32751976	32777586	TE_01_003900427
1	211605498	211615157	TE_01_003900428
17	59778868	59788683	TE_01_003900429
3	156599109	156607292	TE_01_003900430
19	58572110	58576571	TE_01_003900431
17	81662498	81668802	TE_01_003900432
15	90929110	90934178	TE_01_003900433
12	49263199	49269196	TE_01_003900434
11	95788699	95793465	TE_01_003900435
2	157783927	157792889	TE_01_003900436
7	5527835	5533484	TE_01_003900437
11	69442313	69451024	TE_01_003900438
15	55236064	55251531	TE_01_003900439
9	236484	273466	TE_01_003900440
9	98832212	98835396	TE_01_003900441
17	76556613	76560722	TE_01_003900442
19	6056383	6067999	TE_01_003900443
6	119339952	119351180	TE_01_003900444
17	78125984	78131457	TE_01_003900445
5	133929755	133939074	TE_01_003900446
X	139194786	139214650	TE_01_003900447
1	17436510	17442119	TE_01_003900448
14	77909360	77925042	TE_01_003900449
19	18291116	18294320	TE_01_003900450
16	23666802	23684022	TE_01_003900451
6	31619504	31623247	TE_01_003900452
5	177492610	177499073	TE_01_003900453
12	108116196	108124419	TE_01_003900454
21	44852894	44879163	TE_01_003900455
8	37882541	37905919	TE_01_003900456
7	101240386	101252684	TE_01_003900457
3	4738245	4742712	TE_01_003900458
10	4846718	4850688	TE_01_003900459
12	31317531	31326314	TE_01_003900460
